地域番号,地域名,地点番号,地点名,地点名英字,緯度,経度
14,石狩地方,47412,札幌,sapporo,43.06,141.32833333333335
31,青森県,47575,青森,aomori,40.821666666666665,140.76833333333335
32,秋田県,47582,秋田,akita,39.71666666666667,140.09833333333333
33,岩手県,47584,盛岡,morioka,39.69833333333333,141.165
34,宮城県,47590,仙台,sendai,38.26166666666666,140.89666666666668
35,山形県,47588,山形,yamagata,38.255,140.345
36,福島県,47595,福島,fukushima,37.75833333333333,140.47
40,茨城県,47629,水戸,mito,36.38,140.46666666666667
41,栃木県,47615,宇都宮,utsunomiya,36.54833333333333,139.86833333333334
42,群馬県,47624,前橋,maebashi,36.405,139.06
43,埼玉県,47626,熊谷,kumagaya,36.15,139.38
44,東京都,47662,東京,tokyo,35.69166666666667,139.75
45,千葉県,47682,千葉,chiba,35.60166666666667,140.10333333333332
46,神奈川県,47670,横浜,yokohama,35.43833333333333,139.65166666666667
48,長野県,47610,長野,nagano,36.66166666666667,138.19166666666666
49,山梨県,47638,甲府,kofu,35.666666666666664,138.55333333333334
50,静岡県,47656,静岡,shizuoka,34.975,138.40333333333334
51,愛知県,47636,名古屋,nagoya,35.166666666666664,136.965
52,岐阜県,47632,岐阜,gifu,35.4,136.76166666666666
53,三重県,47651,津,tsu,34.733333333333334,136.51833333333335
54,新潟県,47604,新潟,niigata,37.89333333333333,139.01833333333335
55,富山県,47607,富山,toyama,36.708333333333336,137.20166666666665
56,石川県,47605,金沢,kanazawa,36.58833333333333,136.63333333333333
57,福井県,47616,福井,fukui,36.055,136.22166666666666
60,滋賀県,47761,彦根,hikone,35.275,136.24333333333334
61,京都府,47759,京都,kyoto,35.013333333333335,135.73166666666665
62,大阪府,47772,大阪,osaka,34.681666666666665,135.51833333333335
63,兵庫県,47770,神戸,kobe,34.696666666666665,135.21166666666667
64,奈良県,47780,奈良,nara,34.67333333333333,135.83666666666667
65,和歌山県,47777,和歌山,wakayama,34.22833333333333,135.16333333333333
66,岡山県,47768,岡山,okayama,34.685,133.925
67,広島県,47765,広島,hiroshima,34.39833333333333,132.46166666666667
68,島根県,47741,松江,matsue,35.45666666666666,133.065
69,鳥取県,47746,鳥取,tottori,35.486666666666665,134.23833333333334
71,徳島県,47895,徳島,tokushima,34.06666666666667,134.57333333333332
72,香川県,47891,高松,takamatsu,34.318333333333335,134.05333333333334
73,愛媛県,47887,松山,matsuyama,33.843333333333334,132.77666666666667
74,高知県,47893,高知,kochi,33.56666666666667,133.54833333333335
81,山口県,47784,山口,yamaguchi,34.16166666666667,131.46166666666667
82,福岡県,47807,福岡,fukuoka,33.58166666666666,130.375
83,大分県,47815,大分,oita,33.235,131.61833333333334
84,長崎県,47817,長崎,nagasaki,32.733333333333334,129.86666666666667
85,佐賀県,47813,佐賀,saga,33.265,130.305
86,熊本県,47819,熊本,kumamoto,32.81333333333333,130.70666666666668
87,宮崎県,47830,宮崎,miyazaki,31.938333333333333,131.41333333333333
88,鹿児島県,47827,鹿児島,kagoshima,31.555,130.54666666666665
91,沖縄県,47936,那覇,naha,26.206666666666667,127.68666666666667
